Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
Sustainable Packaging In Acircular Economy,Delft University Of Technology,Design,Intermediate,English,Professional Certificateinsustainable Packaging,Yes,"Packaging And Labeling, Business Strategies, Packaging Design, Waste Packaging"
Managing People Withpower Skills,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,"Professional Certificate Inproject Management Professional (Pmp) Exam Prep Training- Crystalizing Methods, Terminology And Techniques.",Yes,"Project Management Institute (PMI) Methodology, Leadership, Project Stakeholders, Interpersonal Communications, Servant Leadership, Project Management Professional Certification, Cooperation, People Management, Health Information Technology, Emotional Intelligence, Agile Methodology, Active Listening, Negotiation"
Introduction To Connectedstrategy,The Wharton School Of The Univer‚Ä¶,Business & Management,Intermediate,English,Professional Certificateinstrategic Management,Yes,"Customer Experience, Customer Service, Innovation, Business Modeling"
Caer O No Caer. El Secretode Las Estructuras.,Universidad Carlos Iii De Madrid,Engineering,Introductory,Espa„±Ol,None,No,Structural Calculations
Theatre And Set Design,Universit„† Degli Studi Di Napoli Fe‚Ä¶,Architecture,Introductory,English,None,No,"Planning, Painting, Geometry, Management"
"Agricultural Watermanagement:Water,-Society And Tech‚Ä¶",Wageningen University & Research,Environmental Studies,Intermediate,English,Professional Certificateinwater & Drainage In Agriculture,Yes,"Urbanization, Groundwater, Rural Development, Governance, Water Resource Management, Management, Water Resources, Irrigation (Landscaping And Agriculture), Agriculture"
Emprendimientocorporativo,Tecnol„≥Gico De Monterrey,Business & Management,Advanced,Espa„±Ol,Micromasters‚ÆProgramininnovaci„≥N Y Emprendimiento,Yes,"Corporate Entrepreneurship, Organic Growth, Organizational Development, Innovation, Management"
Planeaci„≥N Did„°Ctica Porcompetencias,Universidades An„°Huac,Education & Teacher Training,Introductory,Espa„±Ol,Professional Certificateindocencia Digital,Yes,"Conceptual Framework, Planning, Decision Making, Pedagogy, Teaching, Management"
English Composition,Thomas Edison State University,Humanities,Introductory,English,Microbachelors Program Inwriting For Success,Yes,None
Probability And Statisticsiii:  A Gentle Introductionto Statistics,The Georgia Institute Of Technology,Data Analysis & Statistics,Intermediate,English,"Professional Certificate Instatistics, Confidence Intervals And Hypothesis Tests",Yes,"Random Variables, Statistics, Sampling (Statistics), Probability Distribution, Probability, Basic Math, Probability And Statistics, Maximum Likelihood, Normal Distribution"
It Support Case Studies,Ibm,Computer Science,Intermediate,English,Professional Certificate Ininformation Technology (It) Support Pc,Yes,"Technical Support, CompTIA IT Fundamentals, Troubleshooting (Problem Solving), Cloud Computing, Customer Service, Information Technology, Communications"
Sikhism Through Itsscriptures,Harvard University,Humanities,Introductory,English,Xseriesinworld Religions Through Their Scriptures,Yes,None
Mandarin Chinese Forbusiness,Mandarinx,Language,Intermediate,English,Professional Certificateinbusiness Mandarin Essentials,Yes,"Pronunciation, Mandarin Chinese, Negotiation"
Arab-Islamic History: Fromtribes To Empires,Tel Aviv Universityisraelx,Humanities,Introductory,English,None,No,None
"Fundamentals Ofbiomedical Imaging:Ultrasounds, X-Ray, Posit‚Ä¶",√âCole Polytechnique F„©D„©Rale De L‚Ä¶,Engineering,Advanced,English,None,No,"Life Sciences, Biology, Tomography, Magnetic Resonance Imaging, Medical Ultrasonography, Positron Emission Tomography, Physics, X-Ray Computed Tomography"
Creating And Designingwith Spark Ar,Meta,Design,Introductory,English,Professional Certificateinspark Ar For Beginners,Yes,"Graphic Design, Apache Spark, Willingness To Learn, Design Elements And Principles"
Upper-Intermediateenglish: Business Andglobalization,Universitat Polit„®Cnica De Val„®Ncia,Language,Intermediate,English,Professional Certificateinupper-Intermediate English,Yes,"Reading Comprehension, English Language, Grammar, Listening Skills, Vocabulary"
Visualizing Data With R,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Analytics And Visualization With Excel And Rprofessional Certificateinapplied Data Science With R,Yes,"Histogram, Ggplot2, HyperText Markup Language (HTML), Scatter Plots, Dashboard, Grammar, Data Visualization, Pie Charts, Shiny (R Package), Leaflet (Software), Data Science, Data Analysis"
El Valor De La Creatividad Yla Innovaci„≥N: La Econom„≠Anaranja,Inter-American Development Bank,Art & Culture,Introductory,Espa„±Ol,None,No,"Innovation, Boosting, Creativity, Economics, Economic Development"
"Introducci„≥N Al Griegocl„°Sico: Lengua, Nombres Ymitolog„≠A",Universidad Aut„≥Noma De Madrid,Language,Introductory,Espa„±Ol,Xseries Ingriego Cl„°Sico,Yes,"Prometheus (Software), Ancient Greek, Modern Greek, Morphology"
Your Body In The World:Adapting To Your Next Bigadventure,Stanford University,Biology & Life Sciences,Introductory,English,None,No,"Adaptability, Exercise Physiology, Physiology"
Sport Analytics: Datadriven Decision Making,University Of Alaska Fairbanks,Business & Management,Introductory,English,Professional Certificate Insport Business Management,Yes,"Strategic Decision-Making, Sport Business, Data-Driven Decision-Making, Data Analysis, Decision Making, Team Performance Management, Key Performance Indicators (KPIs), Front Office, Business Strategies, Sports Analytics, Critical Thinking, Business Analytics, Data Collection"
Qualitative Research Inpsychology,American Psychological Association,Social Sciences,Intermediate,English,None,No,None
Understanding Povertyand Inequality,Sdg Academy,Social Sciences,Intermediate,English,None,No,"Economics, Resilience, Policy Development, Economic Growth, Sustainable Development, Resource Mobilization"
