Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
How To Learn Online,Edx,Education & Teacher Training,Introductory,English,None,No,Learning Design
The Science Of Happiness,"University Of California, Berkeley",Social Sciences,Introductory,English,None,No,"Evolutionary Biology, Empathy, Psychology"
Remote Work Revolutionfor Everyone,Harvard University,Business & Management,Introductory,English,Professional Certificate Inleading In A Remote Environment,Yes,"Customer Relationship Building, Telecommuting"
Cs50'S Introduction Tocomputer Science,Harvard University,Computer Science,Introductory,English,Professional Certificate Incomputer Science For Game Developmentprofessional Certificate Incomputer Science For Web Programmingprofessional Certificate Incomputer Science For Artificial Intelligenceprofessional Certificate Incomputer Science For Python Programmingxseries Incs50'S Ap‚Æ Computer Science Principles,Yes,"Resource Management, JavaScript (Programming Language), Forensic Sciences, Cryptography, SQL (Programming Language), Finance, Algorithms, Computer Science, HyperText Markup Language (HTML), Data Structures, Python (Programming Language), C (Programming Language), Security Software, Cascading Style Sheets (CSS)"
Data Visualization Andbuilding Dashboards Withexcel And Cognos,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Analysis And Visualization Fundamentalsprofessional Certificateindata Analystprofessional Certificateindata Analytics And Visualization With Excel And R,Yes,"Data Visualization, Data Analysis, IBM Cognos Business Intelligence, Spreadsheets, Microsoft Excel"
"Six Sigma Part 2: Analyze,Improve, Control",Technische Universit„§T M„ºNchen,Business & Management,Introductory,English,Professional Certificate Inlean Six Sigma Yellow Belt: Quantitative Tools For Quality And Productivityprofessional Certificate Inlean Six Sigma Green Belt Certification: Sustainability Projectprofessional Certificate Inlean Six Sigma Green Belt Certification: Business Project,Yes,"Lean Manufacturing, Eight Disciplines Problem Solving (8D), Design For Six Sigma, Six Sigma Yellow Belt, Six Sigma Methodology, Lean Six Sigma, Quality Improvement, Statistics, Six Sigma Green Belt Certification, Statistical Process Controls, Lean Six Sigma Green Belt, Confidence Intervals, Quality Management, Control Chart"
Cs50'S Introduction Toprogramming With Python,Harvard University,Computer Science,Introductory,English,Professional Certificate Incomputer Science For Python Programmingprofessional Certificate Inlearning Python For Data Science,Yes,"Computer Science, JavaScript (Programming Language), Data Science, Personal Computers, SQL (Programming Language), Unit Testing, Boolean Expression, Debugging, Python (Programming Language), C (Programming Language), Web Browsers, Regular Expressions, Web Development"
Analyzing Data With Excel,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Analysis And Visualization Fundamentalsprofessional Certificateindata Analystprofessional Certificateindata Analytics And Visualization With Excel And R,Yes,"Spreadsheets, Data Cleansing, Microsoft Excel, Pivot Tables And Charts, Data Wrangling, Google Sheets, Data Science, Web Browsers, Data Analysis, Business Marketing"
The Science Of Generosity:Do Good‚Ä¶Feel Good,University Of Pennsylvania,Philanthropy,Introductory,English,None,No,None
Entrepreneurialoperations: Launching Astartup,Babson College,Business & Management,Intermediate,English,Professional Certificate Inentrepreneurial Mindset And Leadership,Yes,Operations
Marketing Management,Indian Institute Of Management B‚Ä¶,Business & Management,Intermediate,English,Micromasters‚ÆProgram Inentrepreneurshipmicromasters‚ÆProgram Inbusiness Managementmicromasters‚ÆProgram Inproduct Marketing Strategy,Yes,"Customer Service, Marketing Mix, Customer Satisfaction, Marketing Management, Marketing, Management Consulting"
The Foundations Ofhappiness At Work,"University Of California, Berkeley",Business & Management,Introductory,English,Professional Certificate Inthe Science Of Happiness At Work,Yes,Innovation
Introduction To Webaccessibility,The World Wide Web Consortium‚Ä¶,Computer Science,Introductory,English,None,No,"User Experience, Web Accessibility Initiative, Rich Internet Application, Information Technology, International Standards, Web Content Accessibility Guidelines, Cooperation, Assistive Technology, Web Accessibility"
Coaching Skills Forlearner-Centredconversations,Imperial College London,Education & Teacher Training,Introductory,English,None,No,Life Coaching
Creating Innovativebusiness Models,"University System Of Marylandthe University Of Maryland, Colle‚Ä¶",Business & Management,Introductory,English,Professional Certificate Ininnovation And Entrepreneurship,Yes,"Financial Strategy, Value Propositions, Innovation, Financial Modeling, Marketing Strategies"
Greatest Unsolvedmysteries Of The Universe,Australian National University,Physics,Intermediate,English,Xseriesinastrophysics,Yes,Astrophysics
Interdisciplinary Teachingwith Museum Objects,The Smithsonian Institution,Education & Teacher Training,Introductory,English,Professional Certificateinthe Smithsonian Summer Sessions: Teaching With Museum Objects,Yes,"African-American History, Interdisciplinary Teaching"
Interculturalcommunication At Work ¬ÄìLand The Job And Do It Well,The National University Of Singap‚Ä¶,Communication,Intermediate,English,None,No,"Writing, Presentations, Intercultural Communication, Emotional Intelligence, Personal Branding, Teamwork, Conflict Management, Negotiation, Cultural Sensitivity, Relationship Building, Management, Resilience"
Data Science And Agilesystems For Productmanagement,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Intermediate,English,Professional Certificateinproduct Management,Yes,"Modularity, Data Collection, Operations, Fault Tolerance, Product Management, DevOps, Influencing Skills, Automation, Data Management, Agile Methodology, Data Science, Design And Technology, Self Service Technologies"
Climate Change: Financialrisks And Opportunities,Imperial College Business Schoolimperial College London,Economics & Finance,Intermediate,English,None,No,"Finance, Financial Market, Risk Management, Capital Markets, Financial Services, Investments"
Strategies For Onlineteaching And Learning,University Of British Columbia,Education & Teacher Training,Introductory,English,Professional Certificate Inonline Teaching For Educators: Development And Delivery,Yes,"Teaching, Pedagogy, Online Course Development, Online Teaching"
Exercising Leadership:Foundational Principles,Harvard University,Business & Management,Introductory,English,Professional Certificateinleadership And Communicationprofessional Certificateinleading In A Remote Environmentprofessional Certificateinhappiness In Leadership: Driving Team Success,Yes,Leadership
Storytelling In Theworkplace,Rochester Institute Of Technology,Communication,Introductory,English,Professional Certificateincommunication Skills,Yes,"Target Audience, Writing, Communications"
Cs50'S Introduction Toartificial Intelligence Withpython,Harvard University,Computer Science,Introductory,English,Professional Certificateincomputer Science For Artificial Intelligence,Yes,"Artificial Intelligence, Reinforcement Learning, Mathematical Optimization, Proofreading, Algorithms, Python (Programming Language), Intelligent Systems, Search Algorithms, Handwriting Recognition, Medical Diagnosis, Machine Translation, Computer Science, Machine Learning"
Google Cloud Computingfoundations: Cloudcomputing Fundamentals,Google Cloud,Computer Science,Introductory,English,Professional Certificateingoogle Cloud Computing Foundations,Yes,"Google Cloud, Cloud Computing"
Cs50'S Web Programmingwith Python Andjavascript,Harvard University,Computer Science,Intermediate,English,Professional Certificateincomputer Science For Web Programming,Yes,"Computer Science, Scalability, JavaScript (Programming Language), Application Programming Interface (API), Application Deployment, Django (Web Framework), Database Design, Cloud Services, SQL (Programming Language), React.js, Python (Programming Language), Cloud Computing, Web Development, Github"
Cs50'S Introduction Tocybersecurity,Harvard University,Computer Science,Introductory,English,None,No,"Usability, Cyber Security"
Python Basics For Datascience,Ibm,Data Analysis & Statistics,Introductory,English,Microbachelors Programinfull Stack Application Developmentprofessional Certificateindata Engineering Fundamentalsprofessional Certificateinapplied Aiprofessional Certificateinpython Data Scienceprofessional Certificateinibm Data Scienceprofessional Certificateindata Analystprofessional Certificateindata Engineeringprofessional Certificateindevops And Software Engineeringprofessional Certificateinfull Stack Developer,Yes,"Python (Programming Language), Data Analysis, Data Visualization, Data Science, Machine Learning, Jupyter, Watson Studio"
Data Science: Machinelearning,Harvard University,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science,Yes,"Speech Recognition, Principal Component Analysis, Machine Learning Algorithms, Algorithms, Forecasting, Machine Learning, Recommender Systems, Data Science"
Ielts Academic Testpreparation,The University Of Queensland,Communication,Introductory,English,None,No,"Writing, English Language"
Rhetoric: The Art Ofpersuasive Writing Andpublic Speaking,Harvard University,Humanities,Introductory,English,Professional Certificateinleadership And Communication,Yes,"Persuasive Writing, Rhetoric, Public Speaking, Persuasive Communication, Economics, Communications, Writing"
Managing Happiness,Harvard University,Social Sciences,Introductory,English,Professional Certificateinhappiness In Leadership: Driving Team Success,Yes,"Social Sciences, Research, Lifelong Learning, Psychology"
Cs50'S Introduction Togame Development,Harvard University,Computer Science,Intermediate,English,Professional Certificateincomputer Science For Game Development,Yes,Video Game Development
Toefl‚Æ Test Preparation:The Insider‚ÄôS Guide,Educational Testing Service,Communication,Introductory,English,None,No,"Artificial Intelligence, English Language, Test Of English As A Foreign Language (TOEFL), Planning"
Cs50'S Introduction Toprogramming With Scratch,Harvard University,Computer Science,Introductory,English,None,No,"Visual Programming Language (VPL), Computer Science, Java (Programming Language), Typing, Python (Programming Language), Animations"
Data Science: R Basics,Harvard University,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science,Yes,"Probability, Ggplot2, Version Control, Dplyr, Unix, Sorting, R (Programming Language), Linux, Document Preparations, Git (Version Control System), Github, RStudio, Data Visualization, Machine Learning, Data Wrangling, Data Analysis, File Organization, Data Science"
Entrepreneurship Inemerging Economies,Harvard University,Business & Management,Introductory,English,None,No,"Property Rights, Infrastructure, Value Systems, Management, Operations, Social Issue, Financial Technology (FinTech), Innovation, Branding, LESS"
Introduction To Datascience With Python,Harvard University,Data Analysis & Statistics,Intermediate,English,Professional Certificateinlearning Python For Data Science,Yes,"Artificial Intelligence, NumPy, Data Science, R (Programming Language), Algorithms, Python (Programming Language), Matplotlib, Pandas (Python Package), Parsing, Scikit-learn (Machine Learning Library), Machine Learning, Scientific Methods"
Ingl„©S Para Todos: Nivelb„°Sico,Universidad Del Rosario,Language,Introductory,Espa„±Ol,None,No,"Presentations, English Language, Non-Verbal Communication"
Excel For Beginners,Davidson College,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Analysis Basics With Excel And R,Yes,"Data Entry, Vlookups, Basic Math, Anatomy, Excel Macros, Spreadsheets, Keyboard Shortcuts, Microsoft Excel, Pivot Tables And Charts, Google Sheets, Conditional Formatting"
Cs50'S Understandingtechnology,Harvard University,Computer Science,Introductory,English,Xseriesincs50'S Ap‚Æ Computer Science Principles,Yes,"Troubleshooting (Problem Solving), Computer Science"
Cs50'S Computer Sciencefor Business Professionals,Harvard University,Computer Science,Introductory,English,None,No,"Computational Thinking, Cloud Computing, Web Development, Computer Science, Internet Protocols Suite"
"Fundamentals Ofneuroscience, Part 1: Theelectrical Properties Of Th‚Ä¶",Harvard University,Biology & Life Sciences,Introductory,English,Xseriesinfundamentals Of Neuroscience,Yes,None
Introduction To Kubernetes,The Linux Foundation,Computer Science,Introductory,English,Professional Certificateinintroduction To Kubernetes And Cloud Native Technologies,Yes,"Multitier Architecture, Infrastructure, Cloud-Native Computing, Kubernetes"
Basic Spanish 1: Gettingstarted,Universitat Polit„®Cnica De Val„®Ncia,Communication,Introductory,English,Professional Certificate Inbasic Spanish,Yes,"Spanish Language, Writing, Listening Skills, Spanish Culture, English Language, Language Education, Grammar, Reading Comprehension"
Contract Law: From Trustto Promise To Contract,Harvard University,Business & Management,Intermediate,English,None,No,Contract Law
Cs50'S Introduction Todatabases With Sql,Harvard University,Computer Science,Introductory,English,None,No,"Scalability, SQLite, Java (Programming Language), Data Store, SQL (Programming Language), PostgreSQL, Python (Programming Language), Foreign Keys, Relational Databases, MySQL"
English Grammar And Style,The University Of Queensland,Humanities,Introductory,English,None,No,"Punctuation And Capitalization, Writing, Grammar"
Ai For Everyone: Masterthe Basics,Ibm,Computer Science,Introductory,English,Professional Certificate Infoundations Of Aiprofessional Certificate Inessential Technologies For Businessprofessional Certificate Inapplied Ai,Yes,"Artificial Intelligence, Artificial Neural Networks, Machine Learning, Computer Science, Deep Learning"
Computer Science 101,Stanford University,Computer Science,Introductory,English,None,No,"Computer Science, Experimentation, Web Browsers"
Introduction To Linux,The Linux Foundation,Computer Science,Introductory,English,Professional Certificateinintroduction To Kubernetes And Cloud Native Technologies,Yes,"Linux Distribution, Mainframe Computing, Supercomputing, Command-Line Interface, Graphical User Interface, Android (Operating System), Linux"
Becoming An Entrepreneur,Massachusetts Institute Of Techn‚Ä¶,Business & Management,Introductory,English,None,No,"Entrepreneurship, Lean Methodologies, Design Thinking, Market Research"
Justice,Harvard University,Humanities,Introductory,English,None,No,"Critical Thinking, Political Philosophy, Property Rights"
Google Ai For Anyone,Google,Computer Science,Introductory,English,Professional Certificate Infundamentals Of Google Ai For Web Based Machine Learning,Yes,"Machine Learning, Recommender Systems, Basic Math, Computer Science, Artificial Neural Networks, Computer Vision, Artificial Intelligence"
Data Science:Visualization,Harvard University,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science,Yes,"Ggplot2, Health Economics, Exploratory Data Analysis, Data Visualization, Infectious Diseases, Statistical Programming, Data Science"
Databases: Relationaldatabases And Sql,Stanford University,Computer Science,Introductory,English,None,No,"Database Design, Computer Science, Relational Databases, Online Analytical Processing, Data Abstraction, Persistence, Reliability, Concurrency Controls, Query Languages, Authorization (Computing), Database Systems, SQL (Programming Language), Scalability"
Italian Language Andculture: Beginner(2023-2024),Wellesley College,Language,Introductory,Italiano,Professional Certificate Initalian Language And Culture: Beginner To Advanced,Yes,"Reading Comprehension, Mobile Devices, Pronunciation, Grammar, Language Education, Vocabulary, Writing, Italian Language, Podcasting"
"Introduction To Webdevelopment With Html5,Css3, And Javascript",Ibm,Computer Science,Introductory,English,Microbachelors Programinfull Stack Application Developmentprofessional Certificateincloud And Application Development Foundationsprofessional Certificateinfull Stack Developer,Yes,"Full Stack Development, Cloud Development, Github, Application Development, Cascading Style Sheets (CSS), Front End (Software Engineering), HTML5, Back End (Software Engineering), Bootstrap (Front-End Framework), Project Files, Gitlab, Web Development, JavaScript (Programming Language), Version Control, Git (Version Control System)"
Building Personalresilience: Managinganxiety And Mental Health,Harvard University,Social Sciences,Introductory,English,Professional Certificateinhappiness In Leadership: Driving Team Success,Yes,None
Human Anatomy:Musculoskeletal Cases,Harvard University,Medicine,Intermediate,English,None,No,"Orthopedics, Operating Room (OR), Musculoskeletal Injuries, Histology, Differential Diagnosis, Dissection, Anatomy, Dentistry, Primary Care, Clinical Practices, Orthopedic Surgery, Radiology, Human Musculoskeletal Systems"
The Architecturalimagination,Harvard University,Architecture,Introductory,English,None,No,"Value Systems, Perspective (Graphical), Imagination, Innovation"
Introduction To Chatgpt,Edx,Computer Science,Introductory,English,None,No,"Content Creation, User Interface, Language Translation, Chatbot, Blog Posts, Ideation, Social Media, Language Model, Application Programming Interface (API), Communications, Artificial Intelligence, Writing"
Data Analytics Basics Foreveryone,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificate Indata Analysis And Visualization Fundamentalsprofessional Certificate Indata Analystprofessional Certificate Indata Analytics And Visualization With Excel And R,Yes,"Big Data, Extract Transform Load (ETL), Data Structures, Data Warehousing, Data Lakes, Data Analysis, Relational Databases"
Introduction To Projectmanagement,University Of Adelaide,Business & Management,Introductory,English,Professional Certificateinfundamentals Of Project Management,Yes,"People Management, Management, Leadership"
Prompt Engineering Andadvanced Chatgpt,Edx,Computer Science,Intermediate,English,None,No,None
Leaders Of Learning,Harvard University,Communication,Introductory,English,None,No,"Leadership, Organizational Structure"
Programming Foreverybody (Gettingstarted With Python),The University Of Michigan,Computer Science,Introductory,English,None,No,"Web Browsers, Python (Programming Language)"
Cybersecurity Basics,Ibm,Computer Science,Introductory,English,Professional Certificateinibm Cybersecurity Fundamentalsprofessional Certificateincybersecurity Analyst,Yes,"Cyber Security, Cyber Threat Intelligence, Critical Thinking"
Foundations Of Finance,University Of Cambridge,Economics & Finance,Introductory,English,None,No,"Finance, Corporate Finance, Financial Management, Problem Solving"
Digital Marketing Strategy,The University Of Edinburgh,Business & Management,Intermediate,English,Professional Certificate Indigital Marketing Fundamentals,Yes,"Marketing, Strategic Planning, Digital Marketing"
Principles Of Biochemistry,Harvard University,Medicine,Intermediate,English,None,No,"Analytical Skills, Livers, Biochemistry, Enzyme Kinetics, Cell Biology, Metabolism, Chemical Kinetics, Macromolecule, Hepatology, Problem Solving, Metabolic Pathways, Interconnection, Protein Function"
Data Structures &Algorithms Using  C++,Ibm,Computer Science,Intermediate,English,Professional Certificateinc++ Programming Essentials,Yes,"Data Structures, Sorting, Algorithms, Divide And Conquer, C++ (Programming Language), Dynamic Programming"
Analyzing And Visualizingdata With Power Bi,Davidson College,Data Analysis & Statistics,Introductory,English,Professional Certificate Infundamentals Of Data Visualization With Power Biprofessional Certificate Infrom Database To Dashboard Using Sql And Power Bi,Yes,"Power BI, Business Analytics, Report Writing, Microsoft 365, Data Analysis, Infographics, Virtual Machines, Data Visualization"
Calculus Applied!,Harvard University,Math,Intermediate,English,None,No,"Calculus, Differential Equations, Mathematical Modeling, Biology, X-Ray Computed Tomography, Derivatives, Physical Science, Data Modeling"
Ingl„©S B„°Sico:Conversacional Ynetworking,Universidades An„°Huac,Business & Management,Introductory,Espa„±Ol,Professional Certificate Iningl„©S B„°Sico Para Negocios,Yes,"Communications, Language Barrier"
A Hands-On Introductionto Engineering Simulations,Cornell University,Engineering,Intermediate,English,None,No,"Industry Practices, Finite Element Methods, Simulations, Computational Fluid Dynamics, Ansys Simulation Software, Fluid Dynamics, Physics, Structural Mechanics"
Introduction To Datascience,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science Foundationsprofessional Certificateinessential Technologies For Businessprofessional Certificateinibm Data Science,Yes,"Forecasting, Data Science, Tax Collections, Big Data"
Accounting And Finance,Indian Institute Of Management B‚Ä¶,Business & Management,Intermediate,English,Micromasters‚ÆPrograminentrepreneurship,Yes,"Financial Statements, Financial Market, Tax Management, Business Acumen, Finance, Asset Management, Management, Cost Management, Accounting, Business Planning, Financial Acumen"
The Path To Happiness:What Chinese Philosophyteaches Us About The Go‚Ä¶,Harvard University,Philosophy & Ethics,Introductory,English,None,No,"Political Philosophy, Language Translation, Animations"
Excel: Fundamentos Yherramientas,Universitat Polit„®Cnica De Val„®Ncia,Computer Science,Introductory,Espa„±Ol,Professional Certificateinexcel Para Los Negociosprofessional Certificateinfundamentos De Microsoft Office Para La Empresaprofessional Certificateinexcel Para Los Negocios Nivel Intermedio,Yes,"Microsoft Excel, Operations, Presentations, Microsoft Office"
Early Childhooddevelopment: Globalstrategies For Implement‚Ä¶,Harvard University,Education & Teacher Training,Introductory,English,None,No,"Health Research, Developmental Psychology, Investments, Child Protection, Public Health, Advocacy, Policy Development, Child Development, Head Start (Education Program), Social Development, Scalability"
Data Science: Probability,Harvard University,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science,Yes,"Probability, Statistical Hypothesis Testing, Securities (Finance), Monte Carlo Methods, Probability Theories, Statistical Inference, Financial Crisis, Data Analysis, Random Variables, Data Science"
Statistical Learning,Stanford University,Data Analysis & Statistics,Introductory,English,None,No,"Random Forest Algorithm, Lasso (Programming Language), Support Vector Machine, Principal Component Analysis, Data Analysis, Bootstrap (Front-End Framework), Artificial Neural Networks, Linear Discriminant Analysis, Logistic Regression, Boosting, Data Science, R (Programming Language), Statistical Modeling, Supervised Learning, Polynomial Regression, K-Means Clustering, Lecturing, Statistical Learning Theory, Unsupervised Learning, Deep Learning"
"Predictionx: Omens,Oracles & Prophecies",Harvard University,Social Sciences,Introductory,English,Xseries Inpredictionx,Yes,"Futures Exchange, Computer Simulation, Forecasting"
Intro To Stock Trading,New York Institute Of Finance,Economics & Finance,Introductory,English,Professional Certificate Instock Trading,Yes,"Finance, Equities, Stock Markets, Psychology, Money Management"
Circuits And Electronics 1:Basic Circuit Analysis,Massachusetts Institute Of Techn‚Ä¶,Electronics,Introductory,English,Xseriesincircuits And Electronics,Yes,"Combinational Logic, Electrical Circuit Analysis, Network Switches, Electrical Engineering, Computer Science, Smartphone Operation, Electronics"
Introduction To Biology -The Secret Of Life,Massachusetts Institute Of Techn‚Ä¶,Biology & Life Sciences,Introductory,English,None,No,"Molecular Biology, Genomics, Biochemistry, Ribonucleic Acid Sequencing, Biology, Recombinant DNA Technology, Auditing, Genetics, Macromolecule"
The Psychology Ofemotions: An Introductionto Embodied Cognition,University Of Cambridge,Biology & Life Sciences,Intermediate,English,None,No,"Decision Making, Self-Awareness, Psychology, Neuroimaging, Cognitive Neuroscience, Cognitive Psychology, Research, Human Factors"
Innovating In Health Care,Harvard University,Business & Management,Intermediate,English,None,No,"Public Policies, Business Modeling, Innovation, Investments, Technical Management, Accountability, Consulting"
Software Engineeringbasics For Everyone,Ibm,Computer Science,Introductory,English,Professional Certificateindevops And Software Engineering,Yes,"User Experience, Sales, Agile Methodology, Software Engineering, Scrum (Software Development), Software Development Methodologies, Software Development, Software Development Life Cycle, Safety Assurance, Systems Development Life Cycle, Marketing"
Sql For Data Science,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science Foundationsprofessional Certificateindata Engineering Fundamentalsprofessional Certificateinibm Data Scienceprofessional Certificateindata Analystprofessional Certificateindata Engineering,Yes,"Jupyter, Machine Learning, Data Science, Python (Programming Language), SQL (Programming Language), Relational Databases"
Predictionx: John Snowand The Cholera Epidemicof 1854,Harvard University,History,Introductory,English,Xseriesinpredictionx,Yes,"JavaScript (Programming Language), Epidemiology, ArcGIS (GIS Software), Public Health, Infectious Diseases"
Introduction To Cloudcomputing,Ibm,Computer Science,Introductory,English,"Microbachelors Programinfull Stack Application Developmentprofessional Certificateinessential Technologies For Businessprofessional Certificateincloud Native Foundationsprofessional Certificateindevops, Cloud, And Agile Foundationsprofessional Certificateindevops And Software Engineeringprofessional Certificateininformation Technology (It) Support Pcprofessional Certificateincloud And Application Development Foundationsprofessional Certificateinfull Stack Developer",Yes,"Business Case, Blockchain, Platform as a Service (PaaS), Software as a Service (SaaS), Cloud Services, Microservices, Cloud Security Infrastructure, Full Stack Development, Cyber Security, Multi-Cloud, Cloud Computing Architecture, Amazon Web Services, Cloud-Native Computing, Hybrid Cloud Computing, Infrastructure As A Service (IaaS), IBM Cloud Computing, Serverless Computing, Cloud Computing Security, Cloud Engineering, File Explorer, Virtualization, Cloud Infrastructure, Reliability Engineering, DevOps, Cloud Computing, Private Cloud, Public Cloud, Cloud Security Architecture"
Introduction To Probability,Harvard University,Data Analysis & Statistics,Intermediate,English,None,No,"Data Science, Forecasting, Statistical Inference, Algorithms, Prediction, Probability, Finance, Economics, Stochastic Process, Statistics, Medical Testing, Engineering Economics"
Introduction To Familyengagement In Education,Harvard University,Education & Teacher Training,Introductory,English,None,No,Family Engagement
Franc„©S Introductorio,Universidades An„°Huac,Language,Introductory,Espa„±Ol,None,No,"Writing, Communications, Latin, Restaurant Operation, Spanish Language, Teaching, Vocabulary, Grammar, Pronunciation, French Language"
None,None,Computer Science,Introductory,English,Professional Certificate Incomputer Science For Game Developmentprofessional Certificate Incomputer Science For Web Programmingprofessional Certificate Incomputer Science For Artificial Intelligenceprofessional Certificate Incomputer Science For Python Programmingxseries Incs50'S Ap‚Æ Computer Science Principles,Yes,"Resource Management, JavaScript (Programming Language), Forensic Sciences, Cryptography, SQL (Programming Language), Finance, Algorithms, Computer Science, HyperText Markup Language (HTML), Data Structures, Python (Programming Language), C (Programming Language), Security Software, Cascading Style Sheets (CSS)"
Critical Thinking &Problem Solving,Rochester Institute Of Technology,Communication,Introductory,English,Professional Certificate Inleadership Essentials,Yes,"Leadership, Problem Solving, Critical Thinking"
The Craft Of Storytelling,University Of Alaska Fairbanks,Communication,Introductory,English,None,No,"Communications, Quick Learning, Storytelling, Podcasting, Creative Writing, Public Speaking, Social Media, Documentary Films"
Arabic For Non-Arabicspeakers,Qatar University,Language,Introductory,English,None,No,"Grammar, Non-Verbal Communication, Arabic Language, Learning Platforms, Scripting, Interactive Learning, Writing, C (Programming Language), Pedagogy"
Solidworks Cadfundamentals,Dassault Syst„®Mes Solidworks,Design,Introductory,English,None,No,"3D Modeling, SolidWorks (CAD), New Product Development, Solidworks Certification, Engineering Design Process, Sketching, Mechanical Design, Computer-Aided Design"
Becoming An Effectiveleader,The University Of Queensland,Communication,Intermediate,English,Micromasters‚ÆProgram Inbusiness Leadership,Yes,"Leadership Styles, Empathy, Human Capital, Leadership, Management"
Using Python For Research,Harvard University,Computer Science,Intermediate,English,None,No,"Research, Go (Programming Language), Python (Programming Language)"
Introduction To Digitalhumanities,Harvard University,Humanities,Introductory,English,None,No,"Curiosity, Optical Character Recognition (OCR), Curation, Digital Humanities, Collections"
People Management,Indian Institute Of Management B‚Ä¶,Business & Management,Introductory,English,Micromasters‚ÆPrograminentrepreneurshipmicromasters‚ÆPrograminbusiness Management,Yes,"Leadership, Communications, Management, People Management"
Finance For Everyone:Smart Tools Fordecision-Making,The University Of Michigan,Business & Management,Introductory,English,None,No,"Curiosity, Time Value Of Money, Finance, Decision Making, Algebra, Stocks (Finance), Financial Literacy, Loans, Positivity, Accounting"
Steps In Japanese Forbeginners1 Part1,Waseda University,Language,Introductory,English,Xseriesinsteps In Japanese For Beginners,Yes,None
Digital Marketinganalytics: Tools Andtechniques,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,Professional Certificateindigital Marketing,Yes,"Contextual Advertising, Customer Data Management, Surveys, Analytical Skills, Web Analytics, Big Data, Marketing, Data Analysis, Digital Marketing, Machine Learning, Analytics, Search Engine Optimization, Universal Testing Machines, Data-Driven Decision-Making, Artificial Intelligence"
Child Protection:Children'S Rights In Theoryand Practice,Harvard University,Social Sciences,Introductory,English,None,No,"International Laws, Exploitation, Law Enforcement, Displacement (Fluid), Research, Child Protection, Systems Thinking"
Mandarin Chinese Level 1,Mandarinx,Language,Introductory,English,Professional Certificateinmandarin Essentials For Beginners,Yes,"Mandarin Chinese, Pronunciation, Language Education, Communications"
Improving Your Businessthrough A Culture Ofhealth,Harvard University,Business & Management,Introductory,English,None,No,Employee Retention
Calculus I: From Functionsto Differential Equations,Delft University Of Technology,Math,Intermediate,English,Professional Certificateinmastering Calculus,Yes,"Physics, Dynamical Systems, Calculus, Differential Equations, Fluid Dynamics, Basic Math"
Academic And Businesswriting,"University Of California, Berkeley",Communication,Introductory,English,None,No,"Diction, Business Writing, Writing, Vocabulary Development, Editing, Vocabulary, English Language, Grammar"
Large Language Models:Foundation Models Fromthe Ground Up,Databricks,Computer Science,Advanced,English,Professional Certificate Inlarge Language Models,Yes,"Decision Making, Transfer Learning, Natural Language Processing"
Introduction To Javaprogramming ¬Äì Part 1,The Hong Kong University Of Scie‚Ä¶,Computer Science,Introductory,English,None,No,"Problem Solving, Java (Programming Language), Event-Driven Programming, Integrated Development Environments, Data Abstraction, Object-Oriented Programming (OOP)"
Introduction Toobject-Orientedprogramming With Java I:¬Ä¶,The Georgia Institute Of Technology,Computer Science,Introductory,English,Professional Certificateinintroduction To Object-Oriented Programming With Java,Yes,"Object-Oriented Programming (OOP), Java (Programming Language)"
"Data Structures &Algorithms I: Arraylists,Linkedlists, Stacks And‚Ä¶",The Georgia Institute Of Technology,Computer Science,Intermediate,English,Professional Certificateindata Structures And Algorithms,Yes,"Abstract Data Types, Object-Oriented Programming (OOP), Time Complexity, Nodes (Networking), Operations, Data Storage Technologies, Algorithms, Java (Programming Language), Data Structures"
Project Managementprinciples,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,"Professional Certificate Inproject Management Professional (Pmp) Exam Prep Training- Crystalizing Methods, Terminology And Techniques.",Yes,None
Developing Front Endapps With React,Ibm,Computer Science,Intermediate,English,Microbachelors Programinfull Stack Application Developmentprofessional Certificateincloud And Application Development Foundationsprofessional Certificateinfull Stack Developer,Yes,None
Quantitative Andqualitative Research Forbeginners,The National University Of Singap‚Ä¶,Social Sciences,Introductory,English,None,No,"Qualitative Research, Research, Research Methodologies"
Analyzing Data Withpython,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificate Inpython Data Scienceprofessional Certificate Inibm Data Scienceprofessional Certificate Indata Analyst,Yes,"Basic Math, Scikit-learn (Machine Learning Library), Machine Learning, NumPy, Pandas (Python Package), Data Analysis, Python (Programming Language), SciPy, Data Visualization"
Ap Physics 1,Rice University,Physics,Introductory,English,None,No,"Problem Solving, Physics"
